signature,database,buildtime,version
Win.Exploit.CVE_2016_7185-1,main.ldb,16 Sep 2021 08:32 -0400,62
Doc.Trojan.Agent-1383193,main.ldb,16 Sep 2021 08:32 -0400,62
Doc.Trojan.Agent-1383194,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Generic-39,main.ldb,16 Sep 2021 08:32 -0400,62
Html.Trojan.GenericFakeAV-1,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Generic-40,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Bifrose-28226,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Generic-41,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Generic-42,main.ldb,16 Sep 2021 08:32 -0400,62
Html.Trojan.VBChinky-4,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Bredolab-5597,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Generic-43,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Generic-44,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Generic-45,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Fakesec-882,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Fakesec-883,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Ag-1,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Generic-46,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Fakesec-884,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Generic-47,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Ag-2,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Ag-4254306-1,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Bredolab-5598,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Ag-4,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Ag-5,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Ag-6,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Ag-7,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Ag-8,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Ag-9,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Ag-10,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Ag-11,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Generic-48,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Ag-12,main.ldb,16 Sep 2021 08:32 -0400,62
Win.Trojan.Generic-49,main.ldb,16 Sep 2021 08:32 -0400,62
